id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
3,like,Shimpy liked your post,f,2026-03-24 12:20:36.295176+00,32,2,,31
4,like,Shimpy liked your post,f,2026-03-24 12:20:49.882745+00,32,1,,31
5,reply,Shimpy replied to your post,f,2026-03-24 12:20:57.102235+00,32,1,2,31
7,reply,Shimpy replied to your post,f,2026-03-24 12:23:32.254159+00,32,2,4,31
12,like,Minka liked your post,f,2026-03-28 18:59:10.211507+00,33,11,,32
13,like,swati liked your post,f,2026-03-30 03:48:50.718005+00,31,19,,33
14,reply,swati replied to your post,f,2026-03-30 03:49:15.808378+00,31,19,8,33
15,like,swati liked your post,f,2026-03-30 12:53:17.148489+00,31,20,,33
16,like,swati liked your post,f,2026-03-30 12:53:21.269044+00,31,13,,33
17,like,satija liked your post,f,2026-03-30 14:08:39.207785+00,30,21,,31
18,like,Shimpy liked your post,f,2026-03-31 06:51:53.460829+00,32,20,,33
19,reply,Shimpy replied to your post,f,2026-03-31 06:54:09.993939+00,32,20,9,33
20,like,Shimpy liked your post,f,2026-03-31 06:56:41.943129+00,32,23,,33
21,like,Minka liked your post,f,2026-03-31 08:49:39.766771+00,33,26,,32
22,reply,Minka replied to your post,f,2026-03-31 08:54:37.014754+00,33,26,10,32
23,like,Minka liked your post,f,2026-03-31 08:55:55.647018+00,33,25,,32
24,reply,Minka replied to your post,f,2026-03-31 08:57:16.797685+00,33,25,11,32
25,like,Ojasvi liked your post,f,2026-04-01 05:58:36.387752+00,37,20,,33
26,like,Ojasvi liked your reply,f,2026-04-01 05:58:37.922737+00,37,20,9,32
27,reply,Ojasvi replied to your post,f,2026-04-01 05:59:23.621685+00,37,20,12,33
28,reply,Ojasvi replied to your post,f,2026-04-01 05:59:54.196653+00,37,20,13,33
29,reply,Ojasvi replied to your post,f,2026-04-01 06:00:13.883691+00,37,20,14,33
30,reply,parineeta replied to your post,f,2026-04-01 09:06:36.836474+00,40,23,15,33
31,like,Minka liked your post,f,2026-04-02 03:49:18.066661+00,33,29,,39
32,reply,Minka replied to your post,f,2026-04-02 03:53:53.231713+00,33,29,16,39
33,like,parineeta liked your post,f,2026-04-02 03:55:23.461427+00,40,30,,39
34,reply,parineeta replied to your post,f,2026-04-02 04:00:06.043068+00,40,30,17,39
35,like,Shimpy liked your post,f,2026-04-02 04:09:11.282755+00,32,22,,33
36,reply,Shimpy replied to your post,f,2026-04-02 04:16:51.170271+00,32,22,18,33
37,like,Aarti liked your reply,f,2026-04-02 05:50:08.770733+00,48,23,15,40
38,reply,Aarti replied to your post,f,2026-04-02 05:51:55.640832+00,48,23,19,33
39,like,Aarti liked your post,f,2026-04-02 05:53:05.472475+00,48,16,,33
40,reply,Aarti replied to your post,f,2026-04-02 05:54:46.250532+00,48,16,20,33
41,like,Aarti liked your post,f,2026-04-02 05:55:18.950602+00,48,33,,41
42,like,Aarti liked your post,f,2026-04-02 05:55:23.47236+00,48,28,,39
43,like,Aarti liked your post,f,2026-04-02 05:55:28.230124+00,48,31,,42
44,like,Aarti liked your post,f,2026-04-02 05:55:36.190395+00,48,24,,33
45,like,Aarti liked your post,f,2026-04-02 05:55:47.420495+00,48,14,,33
46,like,Aarti liked your post,f,2026-04-02 05:55:50.955324+00,48,11,,32
47,like,Aarti liked your post,f,2026-04-02 05:56:07.792459+00,48,20,,33
48,like,Aarti liked your post,f,2026-04-02 05:56:09.493288+00,48,13,,33
49,like,Aarti liked your post,f,2026-04-02 05:56:15.121384+00,48,2,,31
50,like,Aarti liked your post,f,2026-04-02 05:56:16.830117+00,48,1,,31
51,like,Aarti liked your post,f,2026-04-02 06:22:19.603463+00,48,17,,33
52,like,Aarti liked your post,f,2026-04-02 06:22:21.345309+00,48,25,,32
53,like,NishaM liked your post,f,2026-04-02 06:25:16.021619+00,47,25,,32
54,like,NishaM liked your reply,f,2026-04-02 06:25:54.923975+00,47,25,11,33
55,reply,NishaM replied to your post,f,2026-04-02 06:27:36.537533+00,47,25,21,32
56,like,NishaM liked your post,f,2026-04-02 06:28:05.344448+00,47,16,,33
57,like,NishaM liked your post,f,2026-04-02 06:28:36.897099+00,47,21,,31
58,like,NishaM liked your post,f,2026-04-02 06:28:43.111881+00,47,15,,33
59,reply,NishaM replied to your post,f,2026-04-02 06:42:18.334334+00,47,21,22,31
60,like,swati liked your post,f,2026-04-02 06:56:25.723623+00,31,32,,45
61,reply,swati replied to your post,f,2026-04-02 06:56:39.9356+00,31,32,23,45
62,like,NishaM liked your post,f,2026-04-02 07:23:03.451285+00,47,36,,31
63,like,NishaM liked your post,f,2026-04-02 07:24:50.066114+00,47,35,,39
64,like,NishaM liked your post,f,2026-04-02 09:18:23.170287+00,47,27,,33
65,reply,NishaM replied to your post,f,2026-04-02 09:19:07.962665+00,47,27,24,33
66,like,NishaM liked your post,f,2026-04-02 09:19:23.521988+00,47,11,,32
67,like,NishaM liked your post,f,2026-04-02 09:19:25.508231+00,47,14,,33
68,like,NishaM liked your post,f,2026-04-02 09:19:47.327246+00,47,22,,33
69,like,NishaM liked your post,f,2026-04-02 09:19:48.859694+00,47,19,,33
70,like,Minka liked your post,f,2026-04-02 10:55:31.992516+00,33,37,,47
71,reply,Minka replied to your post,f,2026-04-02 10:58:57.356271+00,33,37,25,47
72,like,Minka liked your post,f,2026-04-02 11:02:00.901351+00,33,2,,31
73,like,Minka liked your post,f,2026-04-02 11:02:06.223005+00,33,1,,31
74,like,parineeta liked your post,f,2026-04-02 11:17:13.996122+00,40,38,,33
75,reply,parineeta replied to your post,f,2026-04-02 11:17:27.23511+00,40,38,26,33
76,like,Shimpy liked your post,f,2026-04-03 11:08:25.604535+00,32,27,,33
77,like,Shimpy liked your reply,f,2026-04-03 11:08:34.306963+00,32,27,24,47
78,reply,Shimpy replied to your post,f,2026-04-03 11:09:07.181091+00,32,27,27,33
79,like,Shimpy liked your reply,f,2026-04-03 11:10:24.933838+00,32,26,10,33
80,like,Shimpy liked your reply,f,2026-04-03 11:10:48.420072+00,32,25,11,33
81,like,Shimpy liked your reply,f,2026-04-03 11:11:04.280653+00,32,25,21,47
82,like,Shimpy liked your post,f,2026-04-03 11:11:25.467026+00,32,24,,33
83,like,Shimpy liked your reply,f,2026-04-03 11:11:47.008735+00,32,23,15,40
84,like,Shimpy liked your reply,f,2026-04-03 11:11:59.558049+00,32,23,19,48
85,like,Shimpy liked your post,f,2026-04-03 11:12:41.548629+00,32,21,,31
86,like,Shimpy liked your reply,f,2026-04-03 11:12:53.753887+00,32,21,22,47
87,like,Shimpy liked your reply,f,2026-04-03 11:13:07.802405+00,32,20,12,37
88,like,Shimpy liked your reply,f,2026-04-03 11:13:10.51768+00,32,20,13,37
89,like,Shimpy liked your reply,f,2026-04-03 11:13:12.159935+00,32,20,14,37
90,like,Shimpy liked your post,f,2026-04-03 11:13:22.122947+00,32,19,,33
91,like,Shimpy liked your reply,f,2026-04-03 11:13:23.844412+00,32,19,8,31
92,like,Shimpy liked your post,f,2026-04-03 11:13:46.094585+00,32,18,,33
93,like,Shimpy liked your post,f,2026-04-03 11:14:00.007442+00,32,38,,33
94,like,Shimpy liked your reply,f,2026-04-03 11:14:02.757984+00,32,38,26,40
95,like,Shimpy liked your post,f,2026-04-03 11:14:19.000925+00,32,37,,47
96,like,Shimpy liked your reply,f,2026-04-03 11:14:20.609711+00,32,37,25,33
97,like,Shimpy liked your post,f,2026-04-03 11:14:41.183348+00,32,36,,31
98,like,Shimpy liked your post,f,2026-04-03 11:14:50.501954+00,32,35,,39
99,like,Shimpy liked your post,f,2026-04-03 11:15:01.940977+00,32,33,,41
100,like,Shimpy liked your post,f,2026-04-03 11:15:20.087678+00,32,32,,45
101,like,Shimpy liked your reply,f,2026-04-03 11:15:22.578905+00,32,32,23,31
102,like,Shimpy liked your post,f,2026-04-03 11:15:33.871055+00,32,31,,42
103,like,Shimpy liked your post,f,2026-04-03 11:15:44.9661+00,32,30,,39
104,like,Shimpy liked your reply,f,2026-04-03 11:15:46.8+00,32,30,17,40
105,like,Shimpy liked your post,f,2026-04-03 11:16:16.814219+00,32,29,,39
106,like,Shimpy liked your reply,f,2026-04-03 11:16:18.589344+00,32,29,16,33
107,like,Shimpy liked your post,f,2026-04-03 11:16:32.821702+00,32,28,,39
108,like,Ojasvi liked your post,f,2026-04-03 12:11:30.069868+00,37,27,,33
109,like,Ojasvi liked your reply,f,2026-04-03 12:11:32.356453+00,37,27,24,47
110,like,Ojasvi liked your reply,f,2026-04-03 12:11:34.896947+00,37,27,27,32
111,like,Ojasvi liked your post,f,2026-04-03 12:11:41.98567+00,37,39,,32
112,like,Ojasvi liked your post,f,2026-04-03 12:11:46.941199+00,37,13,,33
113,like,Ojasvi liked your post,f,2026-04-03 12:11:52.357456+00,37,2,,31
114,like,Ojasvi liked your reply,f,2026-04-03 12:11:57.331269+00,37,2,4,32
115,like,Ojasvi liked your post,f,2026-04-03 12:12:44.301983+00,37,1,,31
116,like,Ojasvi liked your reply,f,2026-04-03 12:12:49.673871+00,37,1,2,32
117,like,Ojasvi liked your post,f,2026-04-03 12:13:02.716023+00,37,41,,32
118,like,Ojasvi liked your post,f,2026-04-03 12:13:04.713674+00,37,14,,33
119,like,Ojasvi liked your post,f,2026-04-03 12:13:07.947091+00,37,11,,32
120,like,Ojasvi liked your post,f,2026-04-03 12:13:21.020299+00,37,40,,32
121,like,Ojasvi liked your post,f,2026-04-03 12:13:23.667447+00,37,38,,33
122,like,Ojasvi liked your reply,f,2026-04-03 12:13:26.801589+00,37,38,26,40
123,like,Ojasvi liked your post,f,2026-04-03 12:13:33.24883+00,37,16,,33
