id,content,created_at,updated_at,author_id,post_id,parent_id,quoted_user_id
2,nice,2026-03-24 12:20:57.098439+00,2026-03-24 12:20:57.098452+00,32,1,,
32,so nicely written and so purely defined. after marriage life itni badal jati hai. apne skills update karne ka to kabhi time nahi mil pata. fir agar koi aisa mile to acha career enjoy kar raha ho ya jise hamse thodi si bhi jyada knowledge hai to hamara confidence toot jata hai. aur fir koi carelessly bol de tumse kuch nahi hoga. kai baar hum manne lagte hain is baat ko. par khud ko manana aur firse vishwas dilana ki ye galat hai. maine jab itna kuch sambhala hai to khudko sambhalna kyo nahi hoga. mujhse hoga aur jarur hoga. building this confidence is necessary. no matter hum kya karein bas khudke liye bhi kuch karein. woh career ho sakta hai apni pasand ka khana banana ho sakta hai apne liye kuch kharidna ya fir kuch waqt apne sath ya apni purani friends ke sath bitana. jo bhi hame khush rakhe hame woh sab karna chahiye. jab hum dusre kisiko hurt nahi kar sakte to kyo khudko hurt karte rahte hain.,2026-04-04 08:16:48.442308+00,2026-04-04 08:16:48.442321+00,45,76,,
4,nice,2026-03-24 12:23:32.242911+00,2026-03-24 12:23:32.242927+00,32,2,,
8,True,2026-03-30 03:49:15.804344+00,2026-03-30 03:49:15.804363+00,31,19,,
9,"bahut mushkil hota hai sabh kuch sambhal k career par dhayan dena.
but apne liya karna jaroori hai..",2026-03-31 06:54:09.989414+00,2026-03-31 06:54:09.98943+00,32,20,,
10,Very beautiful story. It needs a lot of courage to do all this. There is a beauty parlour near my home. It is started by a girl all alone leaving her graduation in between. There was a fear of failure in her work and also without any degree she could not get the job. It really need a lots of courage to take such step. I know she should have completed her study first. But still the move she took and the courage she has shown is not get wasted. She is running that parlour successfully and I feel so proud of that girl. Each one of us can do anything we want to. We just need that no one should say us you can't.,2026-03-31 08:54:36.994996+00,2026-03-31 08:54:36.995011+00,33,26,,
11,yes very true. its difficult to take time for ourself but it should be taken care of as no one takes care of a caretaker. If others are our responsibility then we ourself is also our duty.,2026-03-31 08:57:16.789103+00,2026-03-31 08:57:16.789122+00,33,25,,
12,Nice one . I m happy to be part of women connect community.,2026-04-01 05:59:23.614762+00,2026-04-01 05:59:23.614784+00,37,20,,
13,True,2026-04-01 05:59:54.190117+00,2026-04-01 05:59:54.190133+00,37,20,,32
14,True,2026-04-01 06:00:13.876069+00,2026-04-01 06:00:13.876083+00,37,20,,32
15,"Hello Dear...This is actually funny. it recalled me many of the instances that happened while cooking. can i write in hindi actually. it will be much better to explain everything. 

ok so kya hua jab i got married to mujhe cooking bilkul nahi aati thi. bas namak cheeni ka difference pata tha. first day after marriage mujhe kaha ki mujhe khichdi banani hai. aaj koi kahe to lagta hai oh so easy jaldi kaam khatam ho jayega. but us din mujhe laga usme dal rice dalte hain fir use kya karte hain. maine dal nikali samajh nahi aaya kitni leni hai. kabhi kam karu kabhi jyada. then same with rice. fir laga ab kya. then socha chalo pahle dho du. fir mai idhar udhar dekhne lagi ki koi aa jaye mai puchu kaise banti hai ye so called khichdi. par sab to apni nayi bahu ke hath ki khichdi khane ka wait kar rahe the. 

then thoda to dar laga par maine socha ki dekhte hain kya banta hai. maine dal rice cooker mei dale aur jitne masale dikhe thode thode sab dal diye. fir ye bhi nahi pata tha pakana kitna hai. thodi der baad sitti bajne lagi. mujhe laga pata nahi kitni aur ayengi. maine thodi der wait kiya. fir mujhe thodi smell aane lagi. maine ghabrake gas band kar diya. 

fir ready ho gayi most tasteless aur burnt khichdi. haha.
sabne bas taste kari aur apas mei dhire dhire haste rahe. mujhse kuch nahi kaha. maine khichdi ke alava aur jo kuch bana tha sab khaya. 

aaj yaad karti hoon to lagta hai omg mujhe itna bhi nahi aata tha. ab bana leti hoon thik thak. itna ki bache kha lete hain khush hoke. aur ab khichdi jalti bhi nahi..lol",2026-04-01 09:06:36.829612+00,2026-04-01 09:06:36.82963+00,40,23,,
16,bahut achi baat sikhayi isme. bacho ki hamesha ek dost bhi dikhna chahiye parent mei. unko discipline mei lana galtiyan batana parent ka kaam hai par unhe itna demotivate karna har time dantna ye parent ki over anxiety hai apne bacho ko auro se better dekhne ki icha. woh behtar kar sakte hain aur nahi bhi kar rahe to kam se kam koshish to kar rahe hain. unka khush rehna jyada jaruri hai. khush rahenge to jyada ache se apne har kaam ko kar sakenge. life ke mushkil decisions confidently le sakenge. exam mei full marks lane se unhe zindagi jeena nahi aa jayega. jeena tab sikhenge jab unhe ye vishwas hoga ki unke har decision ke sath unke parent hain unhe support karne ke liye sikhane ke liye. as a friend as a mentor. sach mei bahut mushkil hai parent banna. aur usse bhi mushkil hai bacha banna.,2026-04-02 03:53:53.225662+00,2026-04-02 03:53:53.22568+00,33,29,,
17,Maa...kitna kuch kaha jata hai na iske bare mei. kitni kavitayein kitne gane kitna kuch kahkar ise itna important place diya gaya hai. Maa bante hi kitni zimmedariyan aa jati hain. hoti to woh bhi ek ladki hai jise har roop mei dhalna hota hai. ho jati hain usse bhi galtiyan. apna bacha sabse acha. mujhe apne bacho ke sath rehna bahut pasand hai. woh mere sath baat karein mere sath khelein mujhse padein to ek alag tarah ka sukoon milta hai. par fir bhi mai chahte hue bhi unhe utna time nahi de pati jitna mujhe lagta hai dena chahiye. par haan dantna comparison karna bhi utna nahi karti. thoda bahut to chalta hai. lol,2026-04-02 04:00:06.031854+00,2026-04-02 04:00:06.031869+00,40,30,,
18,“Perfect bahu banne ki zarurat nahi hai… bas apni jagah bana lo.” this line is master stoke of this story... nice one,2026-04-02 04:16:51.109387+00,2026-04-02 04:16:51.109398+00,32,22,,
